ReferringTicketID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,JIRACheck
OPENJPA-447,IA,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*AV_AFTER_FV
OPENJPA-452,IA,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-456,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
OPENJPA-458,-,-,-,IA,OA,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-459,-,-,IA,A,OA,A,A,A,A,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-460,IA,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*AV_AFTER_FV
OPENJPA-462,-,IA,A,A,OA,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-464,IA,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*AV_AFTER_FV
OPENJPA-466,-,-,IA,A,OA,A,A,A,A,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-470,IA,A,A,A,OA,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-471,-,-,-,IOA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK
OPENJPA-478,IA,A,A,A,OA,A,A,A,A,A,A,A,A,A,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*AVS_NOT_CONSISTENT
OPENJPA-485,IA,A,A,A,OA,A,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-495,IA,A,A,A,OA,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-497,-,-,-,IA,OA,A,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-508,-,-,IA,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK
OPENJPA-509,IA,A,A,A,OA,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-518,-,-,-,IA,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-525,-,-,IA,A,A,OA,A,A,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AV_AFTER_FV*AVS_NOT_CONSISTENT
OPENJPA-526,-,-,IA,A,A,OA,A,A,A,A,A,A,A,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-528,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-530,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
OPENJPA-532,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
OPENJPA-533,-,-,IA,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-535,-,-,-,-,IOA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK
OPENJPA-536,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AV_AFTER_FV
OPENJPA-539,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
OPENJPA-547,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-550,-,-,-,-,IA,OA,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-552,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AV_AFTER_FV*FV_AS_AV
OPENJPA-557,-,-,-,-,IA,OA,A,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-559,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*AV_AFTER_FV*FV_AS_AV
OPENJPA-565,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AV_AFTER_FV*FV_AS_AV
OPENJPA-573,-,-,-,-,IA,OA,A,A,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-574,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AV_AFTER_FV
OPENJPA-580,IA,A,A,A,A,OA,A,A,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-581,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AV_AFTER_FV*FV_AS_AV
OPENJPA-586,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-589,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-590,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-594,-,-,-,IA,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK
OPENJPA-595,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*AV_AFTER_FV
OPENJPA-596,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-602,-,-,-,-,-,IOA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK
OPENJPA-605,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-606,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*AV_AFTER_FV
OPENJPA-607,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-612,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-614,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-617,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-619,-,-,-,-,-,IA,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-622,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AV_AFTER_FV*FV_AS_AV
OPENJPA-625,-,-,-,-,-,IOA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK
OPENJPA-628,-,-,-,-,-,IA,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-629,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*AV_AFTER_FV
OPENJPA-630,-,-,-,-,IA,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK
OPENJPA-632,-,-,-,IA,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
OPENJPA-634,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*AV_AFTER_FV
OPENJPA-642,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
OPENJPA-644,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*AV_AFTER_FV
OPENJPA-645,-,IA,A,A,A,OA,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
