Version,Name,Size,NR,NAuth,LOC_Touched,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,ChgSetSize,Buggy
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,92,2,2,7,5,3,2.5,0,11,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,100,1,1,25,25,25,25.0,25,9,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,185,2,2,10,4,3,2.0,-3,6,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,67,1,1,12,12,12,12.0,12,3,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerCreateDeleteTest.java,74,1,1,74,74,74,74.0,74,2,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,154,1,1,6,3,3,3.0,0,11,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,64,1,1,1,1,1,1.0,1,25,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ZooKeeperUtil.java,163,5,1,27,217,133,43.4,217,10,true
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/AlreadyStartDeliveryException.java,36,1,1,36,36,36,36.0,36,1,true
1,hedwig-client/src/main/java/org/apache/hedwig/filter/ClientMessageFilter.java,32,1,1,2,1,1,1.0,0,34,true
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6523,1,1,12852,6504,6504,6504.0,156,13,false
1,hedwig-server/src/main/java/org/apache/hedwig/admin/HedwigAdmin.java,400,3,2,11,407,397,135.66667,400,34,true
1,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java,425,2,1,7,428,424,214.0,425,34,true
1,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,1041,2,1,44,1057,1029,528.5,1041,34,true
1,hedwig-server/src/main/java/org/apache/hedwig/admin/console/JLineHedwigCompletor.java,92,1,1,92,92,92,92.0,92,5,false
1,hedwig-server/src/main/java/org/apache/hedwig/admin/console/ReadTopic.java,355,2,1,2,357,357,178.5,355,34,true
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerBean.java,51,2,1,2,52,51,26.0,51,34,true
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerMXBean.java,31,1,1,31,31,31,31.0,31,16,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigJMXService.java,37,1,1,37,37,37,37.0,37,4,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanInfo.java,27,1,1,27,27,27,27.0,27,4,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanRegistry.java,48,1,1,48,48,48,48.0,48,4,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerBean.java,77,1,1,77,77,77,77.0,77,16,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerMXBean.java,63,1,1,63,63,63,63.0,63,16,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/ServerStats.java,191,2,1,5,193,190,96.5,191,34,true
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCacheBean.java,64,1,1,64,64,64,64.0,64,16,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCacheMXBean.java,45,1,1,45,45,45,45.0,45,16,false
1,hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java,130,1,1,1,1,1,1.0,1,34,true
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/MessageBoundedPersistenceTest.java,241,1,1,241,241,241,241.0,241,13,false
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestDeadlock.java,272,1,1,272,272,272,272.0,272,7,true
1,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestUpdateSubscriptionState.java,246,1,1,246,246,246,246.0,246,12,true
