Class...,... in version ...,... is touched by commit ...,... related to bug...,... which lifecycle is...
bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorLedgerCheckerTest.java,1,536d86ec4b93909e870d6bc65fba7037360ea036,BOOKKEEPER-425,1 2 3
bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/PortManager.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
hedwig-server/src/test/java/org/apache/hedwig/client/netty/TestMultiplexing.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
hedwig-server/src/test/java/org/apache/hedwig/server/filter/TestMessageFilter.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
hedwig-server/src/test/java/org/apache/hedwig/server/persistence/MessageBoundedPersistenceTest.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestDeadlock.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestUpdateSubscriptionState.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestConcurrentTopicAcquisition.java,1,b3a05cd74652affe4a69f40609de0b92769e05a4,BOOKKEEPER-467,1 2 3
hedwig-client/src/main/java/org/apache/hedwig/client/netty/VoidCallbackAdapter.java,1,d3ee645781a1ed422d53a027e3d397451dd4c0d2,BOOKKEEPER-479,1 2 3
