ReferringTicketID,1,2,3,4,5,6,7,8,9,10,11,12,13,JIRACheck
BOOKKEEPER-383,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-387,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-392,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-395,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-396,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-397,IA,OA,F,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-403,IA,OA,F,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-404,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-408,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-413,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-415,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-424,IA,OA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-425,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-427,IA,OA,F,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-434,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-436,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-439,IA,OA,F,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-441,IA,OA,F,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-442,IA,OA,F,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-446,IA,A,OA,A,F,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
BOOKKEEPER-447,IA,OA,F,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-454,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-457,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-458,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-461,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-465,IA,OA,F,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-466,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-467,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-468,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-469,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-470,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-471,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-474,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-475,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
