Dataset,#TrainingRelease,%training,%Defective_in_training,%Defective_in_testing,Classifier,Feature_Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,UnderSampling,SensitiveLearning,0.0,0.0,57.0,68.0,0.0,0.0,0.5069659442724458,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,OverSampling,NoCostSensitive,58.0,23.0,34.0,10.0,0.7160493827160493,0.8529411764705882,0.7551599587203303,0.45787882770403465
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,OverSampling,SensitiveThreshold,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,OverSampling,SensitiveLearning,62.0,33.0,24.0,6.0,0.6526315789473685,0.9117647058823529,0.7956656346749226,0.34607645875251497
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,SMOTESampling,NoCostSensitive,54.0,19.0,38.0,14.0,0.7397260273972602,0.7941176470588235,0.7703818369453045,0.4640769130830194
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,SMOTESampling,SensitiveThreshold,68.0,56.0,1.0,0.0,0.5483870967741935,1.0,0.5087719298245614,0.01905829596412566
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,SMOTESampling,SensitiveLearning,66.0,55.0,2.0,2.0,0.5454545454545454,0.9705882352941176,0.7662538699690402,0.006137536615985582
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,NoSampling,NoCostSensitive,60.0,30.0,27.0,8.0,0.6666666666666666,0.8823529411764706,0.7485810113519091,0.36750998668442064
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,NoSampling,SensitiveThreshold,68.0,36.0,21.0,0.0,0.6538461538461539,1.0,0.6842105263157895,0.38825448613376823
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,NoSampling,SensitiveLearning,68.0,36.0,21.0,0.0,0.6538461538461539,1.0,0.7261351909184727,0.38825448613376823
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,UnderSampling,NoCostSensitive,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,UnderSampling,SensitiveThreshold,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,UnderSampling,SensitiveLearning,63.0,19.0,38.0,5.0,0.7682926829268293,0.9264705882352942,0.7965686274509803,0.6051592524348514
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,OverSampling,NoCostSensitive,61.0,19.0,38.0,7.0,0.7625,0.8970588235294118,0.7688338493292054,0.573490813648294
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,OverSampling,SensitiveThreshold,67.0,36.0,21.0,1.0,0.6504854368932039,0.9852941176470589,0.6768575851393189,0.3722003529252069
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,OverSampling,SensitiveLearning,63.0,33.0,24.0,5.0,0.65625,0.9264705882352942,0.7152992776057792,0.3619022031166038
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,SMOTESampling,NoCostSensitive,53.0,29.0,28.0,15.0,0.6463414634146342,0.7794117647058824,0.7364551083591331,0.27612529613056075
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,SMOTESampling,SensitiveThreshold,67.0,36.0,21.0,1.0,0.6504854368932039,0.9852941176470589,0.6768575851393189,0.3722003529252069
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,BestFirstFilter,SMOTESampling,SensitiveLearning,67.0,33.0,24.0,1.0,0.67,0.9852941176470589,0.6866615067079463,0.42567567567567566
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,NoSampling,NoCostSensitive,68.0,57.0,0.0,0.0,0.544,1.0,0.8740970072239422,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,NoSampling,SensitiveThreshold,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,NoSampling,SensitiveLearning,68.0,57.0,0.0,0.0,0.544,1.0,0.8740970072239422,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,UnderSampling,NoCostSensitive,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,UnderSampling,SensitiveThreshold,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,UnderSampling,SensitiveLearning,49.0,17.0,40.0,19.0,0.7424242424242424,0.7205882352941176,0.7818627450980392,0.42114741445845116
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,OverSampling,NoCostSensitive,67.0,57.0,0.0,1.0,0.5403225806451613,0.9852941176470589,0.8740970072239422,-0.015975336322869887
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,OverSampling,SensitiveThreshold,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,OverSampling,SensitiveLearning,64.0,15.0,42.0,4.0,0.810126582278481,0.9411764705882353,0.8574561403508771,0.6887694928580789
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,SMOTESampling,NoCostSensitive,43.0,2.0,55.0,25.0,0.9555555555555556,0.6323529411764706,0.8737100103199175,0.5783885071830107
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,SMOTESampling,SensitiveThreshold,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,NoFilter,SMOTESampling,SensitiveLearning,68.0,57.0,0.0,0.0,0.544,1.0,0.8728070175438597,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,BestFirstFilter,NoSampling,NoCostSensitive,68.0,57.0,0.0,0.0,0.544,1.0,0.8740970072239422,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,BestFirstFilter,NoSampling,SensitiveThreshold,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,BestFirstFilter,NoSampling,SensitiveLearning,68.0,57.0,0.0,0.0,0.544,1.0,0.8740970072239422,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,BestFirstFilter,UnderSampling,NoCostSensitive,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,BestFirstFilter,UnderSampling,SensitiveThreshold,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,BestFirstFilter,UnderSampling,SensitiveLearning,49.0,17.0,40.0,19.0,0.7424242424242424,0.7205882352941176,0.7818627450980392,0.42114741445845116
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,BestFirstFilter,OverSampling,NoCostSensitive,67.0,57.0,0.0,1.0,0.5403225806451613,0.9852941176470589,0.8740970072239422,-0.015975336322869887
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,NaiveBayes,BestFirstFilter,OverSampling,SensitiveThreshold,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
